,name,h_gene,t_gene,h_uniprot,t_uniprot,h_chr,t_chr,h_pos,t_pos,h_strand,t_strand,id,h_contribution,t_contribution,domain_architecture,dansy_impact,Novel_Architecture
61,C8A--RIC1,ENSG00000157131,ENSG00000107036,P07357,Q4ADV7,1,9,56881445,5742869,,,DANSY_00061,,IPR009771,IPR009771,Pre-existing,False
62,APOBEC1--WBP4,ENSG00000111701,ENSG00000120688,P41238,O75554,12,13,7654605,41076044,,,DANSY_00062,,,,No Annotation,False
63,NID2--RASSF5,ENSG00000087303,ENSG00000266094,Q14112,Q8WWW0,14,1,52042105,206583269,,,DANSY_00063,IPR003886|IPR000742,IPR000159|IPR011524,IPR003886|IPR000742|IPR000159|IPR011524,Novel,True
64,ATP6V0D1--MAFF,ENSG00000159720,ENSG00000185022,P61421,Q9ULX9,16,22,67438971,38213823,,,DANSY_00064,,IPR004826,IPR004826,Pre-existing,False
65,DYRK1B--ATP5MC2,ENSG00000105204,ENSG00000135390,Q9Y463,Q06055,19,12,39830664,53669871,,,DANSY_00065,,IPR002379,IPR002379,Pre-existing,False
66,ZBTB6--IMPA1,ENSG00000186130,ENSG00000133731,Q15916,P29218,9,8,122913251,81670939,,,DANSY_00066,,,,No Annotation,False
67,DUT--CCL8,ENSG00000128951,ENSG00000108700,P33316,P80075,15,17,48336046,34319435,,,DANSY_00067,,IPR001811,IPR001811,Pre-existing,False
68,DNAAF3--ALKBH1,ENSG00000167646,ENSG00000100601,Q8N9W5,Q13686,19,14,55161293,77679880,,,DANSY_00068,IPR027974,IPR005123,IPR027974|IPR005123,Novel,True
69,KRI1--SCYGR10,ENSG00000129347,ENSG00000284622,Q8N9T8,A0A286YEX9,19,2,10561791,227608784,,,DANSY_00069,,,,No Annotation,False
70,PTGDR--SMAD6,ENSG00000168229,ENSG00000137834,Q13258,O43541,14,15,52267698,66780997,,,DANSY_00070,,IPR001132,IPR001132,Pre-existing,False
71,MUCL3--CIMAP2,ENSG00000168631,ENSG00000162398,Q3MIW9,Q3ZCV2,6,1,30948547,54811794,,,DANSY_00071,,,,No Annotation,False
72,TMEM140--IPCEF1,ENSG00000146859,ENSG00000074706,Q9NV12,Q8WWN9,7,6,135148072,154214218,,,DANSY_00072,,,,No Annotation,False
73,LUC7L--OR8D1,ENSG00000007392,ENSG00000196341,Q9NQ29,Q8WZ84,16,11,220649,124311572,,,DANSY_00073,,IPR017452,IPR017452,Pre-existing,False
74,SS18--PNMA8C,ENSG00000141380,ENSG00000277531,Q15532,A0A1B0GUJ8,18,19,26087501,46424697,,,DANSY_00074,,IPR048271,IPR048271,Pre-existing,False
75,KRT33A--HPGDS,ENSG00000006059,ENSG00000163106,O76009,O60760,17,4,41348483,94342795,,,DANSY_00075,,IPR004045|IPR004046,IPR004045|IPR004046,Pre-existing,False
76,SLC25A1--ROS1,ENSG00000100075,ENSG00000047936,P53007,P08922,22,6,19177727,117416258,,,DANSY_00076,,IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR000719,IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR000719,Pre-existing,False
77,MYO3A--BCS1L,ENSG00000095777,ENSG00000074582,Q8NEV4,Q9Y276,10,2,25952094,218660939,,,DANSY_00077,,IPR014851|IPR003593|IPR057495,IPR014851|IPR003593|IPR057495,Pre-existing,False
78,MLANA--GTF2H2C,ENSG00000120215,ENSG00000183474,Q16655,Q6P1K8,9,5,5892450,69562673,,,DANSY_00078,,IPR002035|IPR004595,IPR002035|IPR004595,Pre-existing,False
79,FSD1--GPAA1,ENSG00000105255,ENSG00000197858,Q9BTV5,O43292,19,8,4318872,144083124,,,DANSY_00079,IPR003649|IPR017903|IPR003961,,IPR003649|IPR017903|IPR003961,Pre-existing,False
80,THYN1--STAR,ENSG00000151500,ENSG00000147465,Q9P016,P49675,11,8,134248809,38146289,,,DANSY_00080,,,,No Annotation,False
81,TAFA4--GOLM1,ENSG00000163377,ENSG00000135052,Q96LR4,Q8NBJ4,3,9,68752863,86040739,,,DANSY_00081,,,,No Annotation,False
82,SCAI--TATDN3,ENSG00000173611,ENSG00000203705,Q8N9R8,Q17R31,9,1,125029644,212791894,,,DANSY_00082,,,,No Annotation,False
83,USP32--KCTD1,ENSG00000170832,ENSG00000134504,Q8NFA0,Q719H9,17,18,60236138,26459620,,,DANSY_00083,IPR057368|IPR002048,,IPR057368|IPR002048,Pre-existing,False
84,ZRANB3--AMER2,ENSG00000121988,ENSG00000165566,Q5FWF4,Q8N7J2,2,13,135217465,25161679,,,DANSY_00084,IPR000330|IPR001650|IPR001876,,IPR000330|IPR001650|IPR001876,Pre-existing,False
85,CARS2--TRBV11-2,ENSG00000134905,ENSG00000241657,Q9HA77,A0A584,13,7,110642315,142434097,,,DANSY_00085,IPR032678,IPR013106,IPR032678|IPR013106,Novel,True
86,KIR2DS4--IQCA1L,ENSG00000221957,ENSG00000278685,P43632,A6NCM1,19,7,54842868,151196977,,,DANSY_00086,IPR003599|IPR003599,IPR003959,IPR003599|IPR003599|IPR003959,Novel,True
87,ZNF836--RRAGC,ENSG00000196267,ENSG00000116954,Q6ZNA1,Q9HB90,19,1,52169648,38856879,,,DANSY_00087,,,,No Annotation,False
88,ABCB9--PAQR9,ENSG00000150967,ENSG00000188582,Q9NP78,Q6ZVX9,12,3,122928992,142954585,,,DANSY_00088,IPR011527|IPR003439,,IPR011527|IPR003439,Pre-existing,False
89,KIF18B--ANXA6,ENSG00000186185,ENSG00000197043,Q86Y91,P08133,17,5,44947628,151132476,,,DANSY_00089,,,,No Annotation,False
90,GRB2--COX7B,ENSG00000177885,ENSG00000131174,P62993,P24311,17,X,75318076,77905184,,,DANSY_00090,IPR001452|IPR000980|IPR001452,,IPR001452|IPR000980|IPR001452,Pre-existing,False
91,KIF18A--SRR,ENSG00000121621,ENSG00000167720,Q8NI77,Q9GZT4,11,17,28097623,2317870,,,DANSY_00091,,,,No Annotation,False
92,TPM4--SIM2,ENSG00000167460,ENSG00000159263,P67936,Q14190,19,21,16093536,36744728,,,DANSY_00092,,,,No Annotation,False
93,STX7--TRIM14,ENSG00000079950,ENSG00000106785,O15400,Q14142,6,9,132513007,98091909,,,DANSY_00093,,IPR001870,IPR001870,Pre-existing,False
94,TRAM2--PPIAL4C,ENSG00000065308,ENSG00000288867,Q15035,A0A0B4J2A2,6,1,52505599,149583848,,,DANSY_00094,,IPR002130,IPR002130,Pre-existing,False
95,CDC34--PNLIP,ENSG00000099804,ENSG00000175535,P49427,P16233,19,10,536243,116560416,,,DANSY_00095,,IPR001024,IPR001024,Pre-existing,False
96,CTBS--RBM10,ENSG00000117151,ENSG00000182872,Q01459,P98175,1,X,84570582,47185716,,,DANSY_00096,,IPR000467,IPR000467,Pre-existing,False
97,TPM4--TMEM147,ENSG00000167460,ENSG00000105677,P67936,Q9BVK8,19,19,16101264,35546945,,,DANSY_00097,,,,No Annotation,False
98,CALCOCO2--CAPNS1,ENSG00000136436,ENSG00000126247,Q13137,P04632,17,19,48856092,36145806,,,DANSY_00098,IPR041611,IPR002048|IPR002048,IPR041611|IPR002048|IPR002048,Novel,True
99,DEFB109B--SLFN14,ENSG00000206034,ENSG00000236320,Q30KR1,P0C7P3,8,17,7312722,35559727,,,DANSY_00099,,IPR031450|IPR007421|IPR048729,IPR031450|IPR007421|IPR048729,Pre-existing,False
100,TRAF7--DCAF10,ENSG00000131653,ENSG00000122741,Q6Q0C0,Q5QP82,16,9,2174251,37819288,,,DANSY_00100,IPR001841|IPR001293,,IPR001841|IPR001293,Pre-existing,False
101,ZNF593OS--MUC19,ENSG00000236782,ENSG00000205592,A0A0U1RRA0,Q7Z5P9,1,12,26171617,40450672,,,DANSY_00101,,IPR001007|IPR001007|IPR006207,IPR001007|IPR001007|IPR006207,Pre-existing,False
102,ZNF235--NECTIN1,ENSG00000159917,ENSG00000110400,Q14590,Q15223,19,11,44286348,119677102,,,DANSY_00102,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR003598,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR003598,Novel,True
103,HSPA4--CCDC141,ENSG00000170606,ENSG00000163492,P34932,Q6ZP82,5,2,133089055,179047284,,,DANSY_00103,IPR042052,IPR003598,IPR042052|IPR003598,Novel,True
104,FGF10--GSK3A,ENSG00000070193,ENSG00000105723,O15520,P49840,5,19,44388358,42239955,,,DANSY_00104,,IPR000719,IPR000719,Pre-existing,False
105,P4HA2--FAM117B,ENSG00000072682,ENSG00000138439,O15460,Q6P1L5,5,2,132227790,202695881,,,DANSY_00105,,,,No Annotation,False
106,CDV3--KRT39,ENSG00000091527,ENSG00000196859,Q9UKY7,Q6A163,3,17,133575039,40962162,,,DANSY_00106,,,,No Annotation,False
107,KSR1--ZNF354A,ENSG00000141068,ENSG00000169131,Q8IVT5,O60765,17,5,27597268,178730556,,,DANSY_00107,IPR046861|IPR002219,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR046861|IPR002219|IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
108,UBXN7--PLAGL2,ENSG00000163960,ENSG00000126003,O94888,Q9UPG8,3,20,196402952,32192504,,,DANSY_00108,IPR054109,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR054109|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
109,ATF4--COL12A1,ENSG00000128272,ENSG00000111799,P18848,Q99715,22,6,39521773,75175038,,,DANSY_00109,IPR004827,IPR003961|IPR003961|IPR003961|IPR003961|IPR002035|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR002035|IPR048287,IPR004827|IPR003961|IPR003961|IPR003961|IPR003961|IPR002035|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR003961|IPR002035|IPR048287,Novel,True
110,DEFB118--TRIB1,ENSG00000131068,ENSG00000173334,Q96PH6,Q96RU8,20,8,31368601,125433317,,,DANSY_00110,,,,No Annotation,False
111,C16orf95--TOX2,ENSG00000260456,ENSG00000124191,Q9H693,Q96NM4,16,20,87305719,44054299,,,DANSY_00111,,IPR009071,IPR009071,Pre-existing,False
112,MKRN1--RIMBP2,ENSG00000133606,ENSG00000060709,Q9UHC7,O15034,7,12,140459007,130396133,,,DANSY_00112,IPR000571|IPR000571|IPR000571,,IPR000571|IPR000571|IPR000571,Pre-existing,False
113,NUDCD3--YIPF7,ENSG00000015676,ENSG00000177752,Q8IVD9,Q8N8F6,7,4,44392297,44624601,,,DANSY_00113,IPR025934|IPR007052,,IPR025934|IPR007052,Pre-existing,False
114,TASL--MRAS,ENSG00000120280,ENSG00000158186,Q9HAI6,O14807,X,3,30577638,138397324,,,DANSY_00114,,,,No Annotation,False
115,PLEKHA7--SARDH,ENSG00000166689,ENSG00000123453,Q6IQ23,Q9UL12,11,9,16794910,133666735,,,DANSY_00115,IPR001202|IPR001202|IPR001849|IPR057971,,IPR001202|IPR001202|IPR001849|IPR057971,Pre-existing,False
116,ZNF177--PSMA5,ENSG00000188629,ENSG00000143106,Q13360,P28066,19,1,9378259,109421860,,,DANSY_00116,,IPR000426,IPR000426,Pre-existing,False
117,ZNF17--OSBPL7,ENSG00000186272,ENSG00000006025,P17021,Q9BZF2,19,17,57413596,47809076,,,DANSY_00117,,,,No Annotation,False
118,NOVA2--RNF220,ENSG00000104967,ENSG00000187147,Q9UNW9,Q5VTB9,19,1,45953780,44635545,,,DANSY_00118,IPR004087,IPR031824|IPR001841,IPR004087|IPR031824|IPR001841,Novel,True
119,ZNF786--TERF1,ENSG00000197362,ENSG00000147601,Q8N393,P54274,7,8,149080591,73008864,,,DANSY_00119,,IPR013867|IPR001005,IPR013867|IPR001005,Pre-existing,False
120,IL20RA--SHISA7,ENSG00000016402,ENSG00000187902,Q9UHF4,A6NL88,6,19,137004621,55428740,,,DANSY_00120,IPR003961|IPR003961,,IPR003961|IPR003961,Pre-existing,False
121,ARL9--WSB1,ENSG00000196503,ENSG00000109046,Q6T311,Q9Y6I7,4,17,56511185,27301788,,,DANSY_00121,IPR005225,IPR001496,IPR005225|IPR001496,Pre-existing,False
122,CACNG6--GAPVD1,ENSG00000130433,ENSG00000165219,Q9BXT2,Q14C86,19,9,53999634,125355644,,,DANSY_00122,,IPR041545|IPR003123,IPR041545|IPR003123,Pre-existing,False
123,GLOD4--MDM4,ENSG00000167699,ENSG00000198625,Q9HC38,O15151,17,1,759330,204542784,,,DANSY_00123,IPR037523|IPR037523,IPR001876|IPR001841,IPR037523|IPR037523|IPR001876|IPR001841,Novel,True
124,SPANXN5--ZNF92,ENSG00000204363,ENSG00000146757,Q5MJ07,Q03936,X,7,52796144,65373855,,,DANSY_00124,,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
125,LAMC1--TREX1,ENSG00000135862,ENSG00000213689,P11047,Q9NSU2,1,3,183140404,48466630,,,DANSY_00125,IPR008211|IPR002049|IPR000742|IPR000742|IPR000742|IPR000034|IPR000742|IPR000742|IPR000742|IPR002049|IPR000742|IPR000742,IPR013520,IPR008211|IPR002049|IPR000742|IPR000742|IPR000742|IPR000034|IPR000742|IPR000742|IPR000742|IPR002049|IPR000742|IPR000742|IPR013520,Novel,True
126,SRCIN1--RAB34,ENSG00000277363,ENSG00000109113,Q9C0H9,Q9BZG1,17,17,38551155,28715993,,,DANSY_00126,IPR022782,IPR005225,IPR022782|IPR005225,Novel,True
127,RGL1--OR10AD1,ENSG00000143344,ENSG00000172640,Q9NZL6,Q8NGE0,1,12,183806375,48202339,,,DANSY_00127,,IPR017452,IPR017452,Pre-existing,False
128,ANKRD61--KIF19,ENSG00000157999,ENSG00000196169,A6NGH8,Q2TAC6,7,17,6035444,74347777,,,DANSY_00128,,,,No Annotation,False
129,POU4F2--TAF11L3,ENSG00000151615,ENSG00000284439,Q12837,A0A1W2PRV1,4,5,146639867,17518367,,,DANSY_00129,IPR000327|IPR001356,IPR006809,IPR000327|IPR001356|IPR006809,Novel,True
130,GPR37--ZNF311,ENSG00000170775,ENSG00000197935,O15354,Q5JNZ3,7,6,124743885,28999956,,,DANSY_00130,IPR017452,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR017452|IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
131,ZNF341--SFTPC,ENSG00000131061,ENSG00000168484,Q9BYN7,P11686,20,8,33758716,22163436,,,DANSY_00131,IPR013087,,IPR013087,Pre-existing,False
